id,attrition,gender,age,maritalstatus,academic_degree,years_experience,years_experience_lastorganization,sector,department,jobtitle,monthlysalary,allowances,medicalinsurance,bonus,overtime,payment_overtime,rewards_wages_satisfaction,get_deserved_promotion,training_programs_during_last_three_years,useful_training_programs,business_travel,job_support,recognition,emotional_commitment,job_engagement,distance_to_work,work_live_balance,physical_stress,psychological_exhaustion,job_stability,health_issues,environment_satisfaction,job_satisfaction,job_opportunities,age_group,salary_band,attrition_label
227,1,Female,51 to 60,Married,Ph.D,From 16 to 20 years,Less than 5 years,Medical sector,Processes,Consultant,S.R 31000 - and more,1,Yes,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,High,Yes,High,Easy,Close,Easy,No,Sometimes,No,No,High,Satisfied,Yes,51 to 60,S.R 31000 - and more,Left
228,1,Male,31 to 40,Married,Master's,From 11 to 15 years,Less than 5 years,Medical sector,Administration,Administrative manager,Less than 5000 SAR,3,Yes,Yes,Yes,Yes,Yes,Yes,From 4 to 6 training programs,Yes,Travel rarely,High,Yes,High,Difficult,Far,Difficult,Yes,Yes,Yes,Yes,High,Very satisfied,Yes,31 to 40,Less than 5000 SAR,Left
229,1,Female,31 to 40,Single,Bachelor's,From 11 to 15 years,Less than 5 years,Medical sector,Administration,Administrative manager,Less than 5000 SAR,2,Yes,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Low,Yes,Low,Medium,Close,Easy,Sometimes,Sometimes,No,No,Low,Not satisfied,Yes,31 to 40,Less than 5000 SAR,Left
230,1,Female,31 to 40,Married,Bachelor's,From 5 to 10 years,Less than 5 years,Medical sector,Administration,Manger assistant,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,No,Medium,Medium,Close,Medium,No,No,No,No,Medium,Satisfied,No,31 to 40,Less than 5000 SAR,Left
231,0,Male,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Industry sector,Production,Production supervisor,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Difficult,Close,Easy,Sometimes,Sometimes,No,No,Low,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
232,1,Male,31 to 40,Married,Bachelor's,Less than 5 years,Less than 5 years,Tourism sector,Accounting,Accountant,From 5000 to 10000 S.R,0,No,No,No,I don't have overtime,Yes,No,From 1 to 3 training programs,Yes,I do not travel for work,High,Yes,Medium,Difficult,Close,Medium,Sometimes,Sometimes,No,No,Medium,Satisfied,Yes,31 to 40,From 5000 to 10000 S.R,Left
233,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Teaching,Teacher,From 5000 to 10000 S.R,1,No,No,No,I don't have overtime,Yes,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,Low,Difficult,Far,Medium,Sometimes,Sometimes,No,No,Medium,Satisfied,Yes,21 to 30,From 5000 to 10000 S.R,Stayed
234,0,Male,31 to 40,Married,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Teaching,Teacher,From 5000 to 10000 S.R,2,No,No,No,I don't have overtime,Yes,Yes,From 4 to 6 training programs,Yes,I do not travel for work,High,Yes,Medium,Difficult,Close,Easy,Sometimes,Sometimes,Yes,No,High,Very satisfied,Yes,31 to 40,From 5000 to 10000 S.R,Stayed
235,1,Male,21 to 30,Married,Bachelor's,From 5 to 10 years,Less than 5 years,Transport sector,Sales,Sales representative,Less than 5000 SAR,2,No,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Low,No,Medium,Easy,Medium,Medium,Yes,Sometimes,No,No,Medium,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Left
236,1,Male,21 to 30,Married,Diploma or secondary,Less than 5 years,Less than 5 years,"Environment, Water, and Agriculture sector",Processes,Driver,Less than 5000 SAR,1,Yes,Yes,Yes,Yes,Yes,Yes,From 1 to 3 training programs,Yes,Travel frequently,Low,Yes,Low,Easy,Close,Easy,Yes,Yes,Yes,Yes,Low,Very satisfied,Yes,21 to 30,Less than 5000 SAR,Left
237,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Patient Affairs,Pharmacist,From 5000 to 10000 S.R,0,Yes,No,Yes,No,Yes,No,I did not receive any training,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Medium,Medium,Yes,Sometimes,Yes,No,Medium,Satisfied,Yes,21 to 30,From 5000 to 10000 S.R,Stayed
238,1,Male,51 to 60,Married,Bachelor's,From 26 to 30 years,From 5 to 10 years,Medical sector,Patient Affairs,Pharmacist,From 5000 to 10000 S.R,1,Yes,No,Yes,Yes,Yes,Yes,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,High,Medium,Medium,Medium,Sometimes,No,Yes,No,Medium,Very satisfied,Yes,51 to 60,From 5000 to 10000 S.R,Left
239,1,Male,31 to 40,Married,Ph.D,From 11 to 15 years,Less than 5 years,Medical sector,Patient Affairs,Pharmacist,Less than 5000 SAR,2,No,No,Yes,Yes,Yes,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,High,Easy,Close,Medium,Yes,Sometimes,Yes,No,High,Satisfied,Yes,31 to 40,Less than 5000 SAR,Left
240,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Medical sector,Administration,Reports Manager,From 5000 to 10000 S.R,2,Yes,No,No,Yes,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Close,Medium,Sometimes,Sometimes,No,No,Medium,Satisfied,Yes,21 to 30,From 5000 to 10000 S.R,Stayed
