model,accuracy,precision,recall,f1,roc_auc,cv_evaluations,cv_f1_mean,cv_f1_std,cv_f1_p2_5,cv_f1_p97_5,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_p2_5,cv_roc_auc_p97_5,selected
Logistic Regression,0.7986577181208053,0.7593984962406015,0.7829457364341085,0.7709923664122137,0.8842254942433834,25,0.76359648454151,0.031167302302431556,0.6982608695652174,0.8076433121019109,0.8776488935254224,0.023668285784832783,0.8308200050774308,0.9201504765861201,True
Random Forest,0.7919463087248322,0.7518796992481203,0.7751937984496124,0.7633587786259542,0.8708774826842804,25,0.7592538672909213,0.030891110088965973,0.7044265439202148,0.8081779823551976,0.8748875973570207,0.025031362867722735,0.8180754403817886,0.9140310669722435,False
