model,accuracy,precision,recall,f1,roc_auc,numeric_standardisation,cv_f1_mean,cv_f1_std,cv_roc_auc_mean
With numeric standardisation,0.7986577181208053,0.7593984962406015,0.7829457364341085,0.7709923664122137,0.8842254942433834,True,0.757829569032741,0.035749841139855,0.8772858087360126
Without numeric standardisation,0.7986577181208053,0.7593984962406015,0.7829457364341085,0.7709923664122137,0.8839961469657355,False,0.757829569032741,0.035749841139855,0.8772341035008479
